,Unnamed: 0,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP,PLAYER
1,1,77847,1955-56,0,1610612737,STL,23.0,72,,2794.0,646,1507,0.429,,,,557,757,0.736,,,1164,189,,,,202,1849,27.4,0.502,8.9,4.8,13.8,,,,,Bob Pettit
6,6,600003,1956-57,0,1610612738,BOS,28.0,64,,2364.0,478,1264,0.378,,,,363,442,0.821,,,309,478,,,,134,1319,21.2,0.452,4.0,4.7,8.8,,,,,Bob Cousy
1,1,78049,1957-58,0,1610612738,BOS,24.0,69,,2640.0,456,1032,0.442,,,,230,443,0.519,,,1564,202,,,,181,1142,22.8,0.465,3.7,7.7,11.3,,,,,Bill Russell
4,4,77847,1958-59,0,1610612737,STL,26.0,72,,2873.0,719,1640,0.438,,,,667,879,0.759,,,1182,221,,,,200,2105,28.2,0.519,11.3,3.5,14.8,,,,,Bob Pettit
0,0,76375,1959-60,0,1610612744,PHW,23.0,72,,3338.0,1065,2311,0.461,,,,577,991,0.582,,,1941,168,,,,150,2707,28.1,0.493,9.0,8.0,17.0,,,,,Wilt Chamberlain
4,4,78049,1960-61,0,1610612738,BOS,27.0,78,,3458.0,532,1250,0.426,,,,258,469,0.55,,,1868,268,,,,155,1322,18.1,0.454,1.7,11.3,13.0,,,,,Bill Russell
5,5,78049,1961-62,0,1610612738,BOS,28.0,76,,3433.0,575,1258,0.457,,,,286,481,0.595,,,1790,341,,,,207,1436,19.6,0.489,3.9,11.6,15.5,,,,,Bill Russell
6,6,78049,1962-63,0,1610612738,BOS,29.0,78,,3500.0,511,1182,0.432,,,,287,517,0.555,,,1843,348,,,,189,1309,18.2,0.464,1.0,12.6,13.5,,,,,Bill Russell
3,3,600015,1963-64,0,1610612758,CIN,25.0,79,,3559.0,840,1740,0.483,,,,800,938,0.853,,,783,868,,,,280,2480,27.6,0.576,16.2,4.4,20.6,,,,,Oscar Robertson
8,8,78049,1964-65,0,1610612738,BOS,31.0,78,,3466.0,429,980,0.438,,,,244,426,0.573,,,1878,410,,,,204,1102,19.5,0.472,2.4,14.4,16.9,,,,,Bill Russell
8,8,76375,1965-66,0,1610612755,PHL,29.0,79,,3737.0,1074,1990,0.54,,,,501,976,0.513,,,1943,414,,,,171,2649,28.3,0.547,12.9,8.5,21.4,,,,,Wilt Chamberlain
9,9,76375,1966-67,0,1610612755,PHL,30.0,81,,3682.0,785,1150,0.683,,,,386,875,0.441,,,1957,630,,,,143,1956,26.5,0.637,14.8,7.0,21.9,,,,,Wilt Chamberlain
