,SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1970-71,22.0,BOS,NBA,C,81.0,3076.0,15.4,0.468,,0.286,,,17.0,9.5,,,,,,0.6,5.8,6.4,0.1,,,,,
1,1971-72,23.0,BOS,NBA,C,79.0,3186.0,17.1,0.509,,0.179,,,17.2,10.1,,,,,,3.5,6.9,10.4,0.156,,,,,
2,1972-73,24.0,BOS,NBA,C,82.0,3425.0,18.1,0.481,,0.16,,,17.5,13.0,,,,,,2.1,9.9,12.0,0.168,,,,,
3,1973-74,25.0,BOS,NBA,C,80.0,3352.0,16.6,0.476,,0.186,7.8,27.9,18.1,14.6,1.2,1.5,,,,2.6,6.7,9.3,0.134,,0.4,1.5,1.9,3.3
4,1974-75,26.0,BOS,NBA,C,65.0,2632.0,19.3,0.509,,0.204,8.7,27.3,18.1,16.3,1.5,1.4,,,,4.3,5.2,9.5,0.173,,2.2,1.5,3.8,3.9
5,1975-76,27.0,BOS,NBA,C,78.0,3101.0,18.9,0.508,,0.261,10.6,29.0,19.8,15.1,1.4,1.2,,,,5.0,5.6,10.7,0.165,,2.2,1.3,3.4,4.3
6,1976-77,28.0,BOS,NBA,C,50.0,1888.0,16.8,0.485,,0.262,7.7,28.3,18.1,18.8,1.1,1.3,,,,1.1,3.3,4.4,0.113,,0.8,1.7,2.6,2.2
7,1977-78,29.0,BOS,NBA,C,77.0,3215.0,18.6,0.533,,0.233,8.0,25.6,17.0,15.7,1.4,1.1,13.9,18.8,,6.1,4.8,10.8,0.162,,2.1,1.3,3.4,4.4
8,1978-79,30.0,BOS,NBA,C,68.0,2517.0,15.2,0.516,,0.185,6.7,22.2,14.4,13.7,1.4,1.1,13.7,19.6,,2.4,2.4,4.8,0.091,,0.1,0.2,0.3,1.5
9,1979-80,31.0,BOS,NBA,C,66.0,2159.0,14.8,0.477,0.013,0.131,6.6,20.7,13.8,13.4,1.5,1.6,9.9,20.1,,1.9,3.6,5.4,0.121,,-0.2,1.1,0.9,1.6
10,1982-83,34.0,MIL,NBA,PF,40.0,1014.0,12.6,0.485,0.007,0.206,8.3,20.8,14.8,10.9,1.4,0.8,11.6,15.4,,0.9,1.7,2.6,0.123,,-1.2,0.8,-0.4,0.4
