,SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1964-65,22.0,NYK,NBA,C,80,3042,17.8,0.477,0.279,,,,6.7,,,,3.1,2.4,5.5,0.087,,,,,
1,1965-66,23.0,NYK,NBA,PF,76,2537,14.4,0.497,0.395,,,,4.8,,,,2.9,0.7,3.6,0.069,,,,,
2,1966-67,24.0,NYK,NBA,PF,78,2824,19.7,0.538,0.375,,,,6.3,,,,6.5,1.3,7.9,0.134,,,,,
3,1967-68,25.0,NYK,NBA,PF,81,2879,19.5,0.537,0.378,,,,7.9,,,,6.5,3.5,10.0,0.167,,,,,
4,1968-69,26.0,NYK,NBA,C,82,3108,21.4,0.562,0.322,,,,9.0,,,,9.5,5.1,14.7,0.227,,,,,
5,1969-70,27.0,NYK,NBA,C,81,3089,20.3,0.552,0.335,,,,7.1,,,,7.2,7.5,14.6,0.227,,,,,
6,1970-71,28.0,NYK,NBA,C,73,2855,19.3,0.51,0.286,,,16.0,7.4,,,,4.1,6.5,10.6,0.179,,,,,
7,1971-72,29.0,NYK,NBA,C,11,363,13.7,0.477,0.285,,,13.0,8.4,,,,0.1,0.5,0.6,0.081,,,,,
8,1972-73,30.0,NYK,NBA,C,69,1876,15.4,0.5,0.176,,,15.5,9.1,,,,1.9,3.9,5.8,0.149,,,,,
9,1973-74,31.0,NYK,NBA,C,19,500,15.9,0.506,0.288,9.9,19.7,14.8,8.4,1.1,2.3,,0.7,0.9,1.5,0.145,,0.6,0.7,1.3,0.4
