,SEASON,AGE,TEAM,LEAGUE,POS,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1956-57,22.0,BOS,NBA,C,48,1695,21.1,0.45,0.476,,,,,,1.6,4.6,6.2,0.176,
1,1957-58,23.0,BOS,NBA,C,69,2640,22.8,0.465,0.429,,,,,,3.7,7.7,11.3,0.206,
2,1958-59,24.0,BOS,NBA,C,70,2979,20.7,0.493,0.429,,,,,,4.7,8.2,12.9,0.208,
3,1959-60,25.0,BOS,NBA,C,74,3146,20.2,0.496,0.33,,,,,,4.9,8.9,13.8,0.211,
4,1960-61,26.0,BOS,NBA,C,78,3458,18.1,0.454,0.375,,,,,,1.7,11.3,13.0,0.181,
5,1961-62,27.0,BOS,NBA,C,76,3433,19.6,0.489,0.382,,,,,,3.9,11.6,15.5,0.217,
6,1962-63,28.0,BOS,NBA,C,78,3500,18.2,0.464,0.437,,,,,,1.0,12.6,13.5,0.185,
7,1963-64,29.0,BOS,NBA,C,78,3482,19.3,0.461,0.398,,,,,,1.3,16.0,17.3,0.238,
8,1964-65,30.0,BOS,NBA,C,78,3466,19.5,0.472,0.435,,,,14.8,,2.4,14.4,16.9,0.234,
9,1965-66,31.0,BOS,NBA,C,78,3386,17.3,0.448,0.429,,,,13.8,,0.3,11.4,11.7,0.165,
10,1966-67,32.0,BOS,NBA,C,81,3297,18.6,0.5,0.537,,,,17.3,,3.0,9.2,12.2,0.178,
11,1967-68,33.0,BOS,NBA,C,78,2953,17.0,0.461,0.536,,,,14.9,,0.4,7.8,8.2,0.133,
12,1968-69,34.0,BOS,NBA,C,77,3291,15.2,0.467,0.602,,,,13.9,,1.0,9.9,10.9,0.159,
